sales,comp_price,income,price,shelve_loc,city,local
9.5,1932,73,1680,Bad,Yes,Yes
11.22,1554,48,1162,Good,Yes,Yes
10.06,1582,35,1120,Medium,Yes,Yes
7.4,1638,100,1358,Medium,Yes,Yes
4.15,1974,64,1792,Bad,Yes,No
10.81,1736,113,1008,Bad,No,Yes
6.63,1610,105,1512,Medium,Yes,No
11.85,1904,81,1680,Good,Yes,Yes
6.54,1848,110,1736,Medium,No,No
4.69,1848,113,1736,Medium,No,Yes
9.01,1694,78,1400,Bad,No,Yes
11.96,1638,94,1316,Good,Yes,Yes
3.98,1708,35,1904,Medium,Yes,No
10.96,1610,28,1204,Good,Yes,Yes
11.17,1498,117,1652,Good,Yes,Yes
8.71,2086,95,2016,Medium,No,No
7.58,1652,32,1540,Good,Yes,No
12.29,2058,74,1834,Good,Yes,Yes
13.91,1540,110,952,Good,No,Yes
8.73,1806,76,1694,Medium,Yes,Yes
6.41,1750,90,1834,Medium,Yes,Yes
12.13,1876,29,1526,Good,No,Yes
5.08,1792,46,1932,Medium,Yes,No
5.87,1694,31,1526,Medium,Yes,No
10.14,2030,119,1582,Bad,Yes,Yes
14.9,1946,32,1148,Good,No,No
8.33,1498,115,1834,Good,No,Yes
5.27,1372,118,1498,Medium,Yes,No
2.99,1442,74,1358,Bad,Yes,Yes
7.81,1456,99,1428,Bad,Yes,Yes
13.55,1750,94,1246,Good,Yes,No
8.25,1904,58,1834,Medium,Yes,Yes
6.2,1498,32,1918,Good,No,Yes
8.77,1596,38,1792,Good,Yes,Yes
2.67,1610,54,1792,Medium,Yes,Yes
11.07,1834,84,1344,Medium,No,Yes
8.89,1708,76,1400,Good,No,No
4.95,1694,41,1540,Medium,Yes,Yes
6.59,1526,73,1428,Medium,Yes,No
3.24,1820,60,1932,Bad,No,No
2.07,1666,98,1764,Bad,No,No
7.96,2198,53,1736,Bad,Yes,No
10.43,1078,69,336,Medium,Yes,No
4.12,1722,42,1876,Medium,Yes,Yes
4.16,1190,79,1330,Medium,Yes,Yes
4.56,1974,63,1890,Bad,Yes,Yes
12.44,1778,90,980,Medium,No,Yes
4.38,1764,98,1512,Bad,Yes,No
3.91,1624,52,1372,Bad,Yes,No
10.61,2198,93,2086,Good,Yes,No
1.42,1386,32,1512,Bad,Yes,Yes
4.42,1694,90,1512,Bad,Yes,No
7.91,2142,40,1806,Bad,Yes,Yes
6.92,1526,64,1666,Medium,Yes,Yes
4.9,1876,103,2016,Medium,No,Yes
6.85,2002,81,2156,Medium,Yes,Yes
11.91,1862,82,1176,Medium,Yes,No
0.91,1302,91,1638,Bad,Yes,No
5.42,1442,93,1442,Bad,Yes,Yes
5.21,1652,71,1596,Medium,Yes,No
8.32,1708,102,1722,Bad,Yes,Yes
7.32,1470,32,1498,Medium,No,No
1.82,1946,45,1862,Bad,Yes,Yes
8.47,1666,88,1414,Medium,Yes,Yes
7.8,1400,67,1456,Medium,No,Yes
4.9,1708,26,1792,Medium,No,No
8.85,1778,92,1274,Medium,Yes,No
9.01,1764,61,1610,Medium,Yes,Yes
13.39,2086,69,1876,Good,Yes,Yes
7.99,1778,59,1386,Medium,Yes,No
9.46,1246,81,1386,Good,Yes,Yes
6.5,2072,51,2100,Medium,No,Yes
5.52,1610,45,1624,Medium,Yes,No
12.61,1652,90,1456,Good,No,Yes
6.2,2100,68,1904,Medium,No,Yes
